"user_id","school","startdate","enddate","degree_raw","field_raw"
2005328566,"Open University of Sri Lanka","2010-01-01","2013-01-31","Bachelor of Laws (LL.B.)","Under Graduate"
49114673,"Universidad Nacional San Luis Gonzaga de Ica","2018-01-01","2022-01-01","Licenciatura","turismo"
232674111,"Universidad del Valle de México","2015-01-01","2019-01-01","Licenciatura","Ingeniería electrónica, robótica y mecatrónica"
550402639,"Community College of the Air Force","2015-01-01","2017-01-01","Associate's degree","Criminal Justice/Police Science"
111488420,"Lycée Claude Gellée - Epinal","1997-01-01","2000-01-01","Baccalauréat","Economics"
1009283025,"Universidad de Valladolid","2011-01-01","2015-01-01","Grado en Comercio","Administración y gestión de empresas, general"
453240625,"Symbiosis Institute of Business Management","2012-01-01","2014-01-01","MBA","Human Resources"
145151347,"Purchase College, SUNY","2016-01-01","2017-01-31","Bachelor's degree","Liberal Arts and Sciences, General Studies and Humanities"
613990246,"Columbia College Chicago","2003-01-01","2008-01-31","Bachelor of Arts","Film Studies"
27257991,"Assumption University of Thailand","2006-01-01","2010-01-01","Bachelor of Business Administration (BBA)","Marketing"
353429493,"SGS Academy","2015-01-01","2016-01-01","Especialista em Segurança dos Alimentos","Segurança de Alimentos"
556434268,"Orange High School","2008-01-01","2012-01-31","High School Diploma",
547948871,"Universidad Argentina de la Empresa","2014-01-01","2018-01-01","Licenciatura en Comercio Internacional y Administración de Empresas",
111123603,"Mendenhall High School","1999-01-01","2003-01-31",,
71626399,"香港中文大學","2010-01-01","2013-01-01","Bachelor of Business Administration - BBA",
415402663,"Missouri Valley College","2008-01-01","2011-01-31","Bachelor’s Degree","Human Biology"
833266064,"Lycée Professionnel Agricole Félix Gaillard","2012-01-01","2014-01-01","BEP services aux personnes",
597514689,"Essex County College","2013-01-01","2016-01-01","Associate of Science - AS","Business Administration and Management, General"
334584043,"Arizona State University","2010-01-01","2014-01-01","Bachelor's Degree","General Studies"
793390785,"Université de Sherbrooke","2021-01-01","2024-01-01","Bachelor of Business Administration - BBA","Management - International Business"
206234595,"Assiut University",,,"Bachelor's degree","Accounting"
182346353,"University of Nevada-Las Vegas","2019-01-01","2020-01-31","Master of Education - MEd","Education/Teaching of Individuals with Emotional Disturbances"
976742481,"Université Rennes 2","2020-01-01","2021-01-01","Licence - Sciences et Techniques des activités physiques et sportives",
262499181,"Arizona State University","1987-01-01","1990-01-01","MIS","Computer Science"
500125790,"Princeton University",,,,
2000618797,"Lindenwood University","2014-01-01","2019-01-01","Bachelor of Arts - BA","Business Administration and Management, General"
71284739,"Don Bosco,Matunga","1974-01-01","1979-01-01","Bcom","Commerce"
1350263,"Thomas Edison State College","2008-01-01","2008-01-31","B.A.","Liberal Arts"
255467615,"Hillsborough High School",,,,
56055020,"University of Maryland",,,"Bachelor of Science - BS","Kinesiology and Exercise Science"
2802690,"St. Mary's College of Maryland","1976-01-01","1977-01-31","Biology/Biological Sciences, General",
419069178,"Wheelock College","1976-01-01","1980-01-01","Bachelor's Degree","Early Childhood Education and Teaching"
588978791,"Johnson & Wales University-Charleston,SC","1989-01-01","1991-01-31","Associate's degree","Culinary if Arts"
140633953,"Delhi Public School Bhopal","2014-01-01","2016-01-31","Higher Secondary","PCM"
16620582,"The Central public school","2001-01-01","2007-01-01","Primary And Secondary School","Schooling"
470175394,"University of Pittsburgh Katz Graduate School of Business","2021-01-01","2022-01-01","Masters of Science","Business Administration and Management, General"
464170304,"Bowdoin College","2011-01-01","2015-01-01","Bachelor of Arts (BA)","Political Science and Government"
176150663,"Illinois State University","2016-01-01","2020-01-31","Bachelor’s degree in Statistics","3.6"
134428770,"The University of Texas at San Antonio","2003-01-01","2007-01-31","MA",
322992659,"Vanguard University of Southern California","2004-01-01","2008-01-31","Bachelor of Science - BS","Biology, Pre-Med"
62611358,"Tarrant County College","1986-01-01","1990-01-01","Associate of Arts (AA)","Liberal Arts and Sciences, General Studies and Humanities"
52247986,"Indiana University - Kelley School of Business",,,"MBA","Marketing & Operations"
972476290,"Mainova AG","2018-01-01","2020-01-31","Ausbildung","Industriekaufmann"
63300386,"Troy State University",,,"Master of Public Administration (M.P.A.)","Business Administration and Management, General"
18847370,"Human Capital Institute (HCI)","2014-01-01","2014-01-01","Human Capital Strategist",
186445391,"University of Central Oklahoma","2010-01-01","2012-01-31","Bachelor's degree","Accounting"
226545883,"Cedar Springs High School",,,,
251221372,"Universidade Federal de Santa Maria","1999-01-01","2004-01-01","Bacharelado","Medicina Veterinária"
68571934,"Mississippi State University","1996-01-01","2000-01-31","Bachelor’s Degree","Meteorology"
1015392527,"Management Development Institute, Gurgaon","2022-01-01","2024-01-01","Master of Business Administration - MBA",
364102613,"St. Louis Community College","2012-01-01","2014-01-31","Associate of Arts and Sciences (A.A.S.)","Registered Nursing/Registered Nurse"
581410667,"Plant High School","2016-01-01","2020-01-31","Unweighted GPA– 4.00, Weighted GPA– 7.28 , Class Rank – 11/587",
335329105,"The University of Toledo","2013-01-01","2016-01-31","Bachelor's degree","Biology"
410243958,"University of Montana",,,,
62611358,"University of Phoenix","2013-01-01","2015-01-01","Master of Arts (MA)","Education/Adult Education and Training"
89990324,"Kentucky State University","2015-01-01","2018-01-31",,
838043282,"University of Michigan",,,"Python Programming",
356542261,"Western Governors University","2016-01-01","2017-01-31","Master of Science (M.S.)","Leadership and Management"
30820296,"bloomington south high school",,,"nothing","nothing"
163821907,"Sofia University St. Kliment Ohridski","2010-01-01","2014-01-31","Bachelor's degree","radio"
416313264,"California State University-Sacramento","2005-01-01","2009-01-01","Bachelor of Arts (BA)","Economics"
