"user_id","skill_raw","skill_mapped","skill_k75"
33938775,"new business development","new business development","sales / business development / account management"
375271525,"packaging","packaging","photoshop / graphic design / adobe creative suite"
139188649,"transaction processing","payments","risk management / banking / credit"
67347412,"nursing","nursing","clinical research / clinical trials / medicine"
10787733,"proofreading","proofreading","event planning / public relations / event management"
563103206,"java","java","java / eclipse / android"
116719696,"portrait photography","portrait photography","photoshop / graphic design / adobe creative suite"
33938775,"product management","product management","strategic planning / team leadership / negotiation"
19826903,"c#","c#","c# / .net / asp.net"
286296951,"public speaking","public speaking","public speaking / research / higher education"
837816018,"outlook","outlook","microsoft office / microsoft excel / microsoft word"
33585425,"claim","claim","underwriting / general insurance / property"
19826903,"management","management","management / leadership / training"
170205057,"engineering management","engineering management","process improvement / program management / cross-functional team leadership"
301214847,"project management professional","project management professional","business analysis / integration / business process improvement"
602399040,"resorts","resorts","hospitality / food / hospitality management"
368080771,"cinematography","cinematography","video production / video editing / video"
597266983,"condos","condos","real estate / investment properties / property management"
134428770,"team building","team building","management / leadership / training"
144695256,"solidworks","solidworks","autocad / solidworks / mechanical engineering"
234298409,"construction management","construction management","project management / project planning / construction"
250639260,"business analysis","business analysis","business analysis / integration / business process improvement"
525897267,"food","food","hospitality / food / hospitality management"
80200835,"marketing","marketing","marketing / marketing strategy / customer relationship management (crm)"
384116679,"advertising","advertising","marketing / marketing strategy / customer relationship management (crm)"
493930255,"cisco technologies","cisco technologies","network security / cisco technologies / tcp/ip"
388907148,"microsoft excel","microsoft excel","microsoft office / microsoft excel / microsoft word"
414413033,"organizational development","organizational development","coaching / leadership development / organizational development"
368080771,"camera operating","camera operating","video production / video editing / video"
255764417,"personnel management","personnel management","management / leadership / training"
75987513,"mentoring","mentoring","management / leadership / training"
250424078,"manufacturing","manufacturing","manufacturing / continuous improvement / quality assurance"
443420777,"leadership","leadership","management / leadership / training"
62611358,"team building","team building","management / leadership / training"
844903144,"olap","olap","analytics / data warehousing / data mining"
415389693,"patient safety","patient safety","clinical research / clinical trials / medicine"
554516311,"ms project","ms project","project management / project planning / construction"
580579359,"quality system","quality system","manufacturing / continuous improvement / quality assurance"
684165615,"product development","product development","strategic planning / team leadership / negotiation"
546698073,"interactive advertising","interactive advertising","marketing / marketing strategy / customer relationship management (crm)"
143688061,"hydraulic systems","hydraulics","testing / automation / electrical engineering"
416796095,"statistical process control (spc)","statistical process control (spc)","manufacturing / continuous improvement / quality assurance"
270910993,"healthcare","healthcare","healthcare / hospitals / healthcare management"
34884141,"sourcing","sourcing","recruiting / talent management / interviews"
122735403,"testing","testing","testing / automation / electrical engineering"
224695242,"inspection","inspection","project management / project planning / construction"
464170304,"leadership","leadership","management / leadership / training"
679695185,"training","training","management / leadership / training"
38013763,"value-added services (vas)","value-added services (vas)","telecommunications / voip / wireless"
19144081,"graphic design","graphic design","photoshop / graphic design / adobe creative suite"
679695185,"epidemiology","epidemiology","clinical research / clinical trials / medicine"
139188649,"guest service management","guest service management","hospitality / food / hospitality management"
646152466,"general ledger","general ledger","accounting / financial reporting / auditing"
459792047,"airports","airports","aerospace / aviation / aircraft"
36121718,"transportation management","transportation management","operations management / inventory management / logistics"
399451909,"advertising","advertising","marketing / marketing strategy / customer relationship management (crm)"
27844786,"javascript","javascript","html / javascript / mysql"
541852890,"agile methodologies","agile methodologies","software development / agile methodologies / xml"
182346353,"elementary education","elementary education","public speaking / research / higher education"
141958341,"microsoft office","microsoft office","microsoft office / microsoft excel / microsoft word"
183739274,"tutoring","tutoring","public speaking / research / higher education"
581641600,"leadership","leadership","management / leadership / training"
144695256,"minitab","minitab","analysis / data analysis / analytical skills"
525362828,"account reconciliation","account reconciliation","accounting / financial reporting / auditing"
116719696,"social media","social media","social media / social networking / facebook"
250424078,"strategic planning","strategic planning","strategic planning / team leadership / negotiation"
167419612,"bloomberg","bloomberg","financial analysis / finance / financial modeling"
254544923,"marine biology","ecology","environmental awareness / sustainability / geographic information systems (gis)"
42298024,"customer experience","customer experience","sales / business development / account management"
724481867,"electronic trading","electronic trading","investment banking / equities / capital markets"
180937298,"life coaching","life coaching","coaching / leadership development / organizational development"
684923825,"sales management","sales management","sales / business development / account management"
698832850,"journalism","journalism","event planning / public relations / event management"
203905184,"software engineering","software engineering","software development / agile methodologies / xml"
977635795,"commissioning","commissioning","engineering / project engineering / commissioning"
224695242,"behavior based safety","behavior based safety","safety management systems / mining / occupational health"
539305859,"brokers","brokers","underwriting / general insurance / property"
975599187,"corporate finance","corporate finance","financial analysis / finance / financial modeling"
338323245,"leadership","leadership","management / leadership / training"
443420777,"accounting","accounting","accounting / financial reporting / auditing"
602399040,"sales","sales","sales / business development / account management"
304654991,"financial analysis","financial analysis","financial analysis / finance / financial modeling"
359113269,"merchandising","merchandising","retail / merchandising / fashion"
684165615,"entrepreneurship","entrepreneurship","strategic planning / team leadership / negotiation"
27844786,"project management","project management","project management / project planning / construction"
676698124,"failure mode and effects analysis (fmea)","failure mode and effects analysis (fmea)","manufacturing / continuous improvement / quality assurance"
27908795,"communication","communication","communication / organization / presentations"
52324144,"english","english","english / french / german"
664812024,"team leadership","team leadership","strategic planning / team leadership / negotiation"
192761225,"strategic planning","strategic planning","strategic planning / team leadership / negotiation"
200690902,"logistics management","logistics management","operations management / inventory management / logistics"
111488420,"business planning","business planning","strategic planning / team leadership / negotiation"
43876414,"sales","sales","sales / business development / account management"
38013763,"mobile devices","mobile devices","strategic planning / team leadership / negotiation"
837816018,"customer service","customer service","customer service / teamwork / time management"
2802690,"public speaking","public speaking","public speaking / research / higher education"
514835869,"business analysis","business analysis","business analysis / integration / business process improvement"
508316516,"sales","sales","sales / business development / account management"
250424078,"forecasting","forecasting","forecasting / pricing / fast-moving consumer goods (fmcg)"
306379984,"customer service","customer service","customer service / teamwork / time management"
